Carimbo de data/hora,Você é estudante da UFV em qual nível?,Marque o curso de graduação que você faz,Selecione o curso de mestrado que você faz,Selecione o curso de doutorado que você faz,Selecione o curso de pós-graduação lato-sensu (especialização) que você faz,"Em relação ao seu contato com ferramentas de Inteligência Artificial, como você se classificaria?","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [ChatGPT]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Gemini (Google)]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Llama (Meta AI)]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Midjourney]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [DALL-E]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Deepseek]","Em relação às ferramentas de IA listadas a seguir, marque o seu grau de contato com cada uma delas [Outras]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para organizar e orientar meus estudos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para conferir respostas a exercícios e atividades]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Incorporo soluções fornecidas pela ferramenta aos meus trabalhos e atividades]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Emprego respostas fornecidas pela IA aos meus trabalhos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para orientar a busca, coleta e análise de material de estudo ou pesquisa]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para automatizar tarefas secundárias ou braçais durante meus estudos ou pesquisa]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Peço para a ferramenta fazer resumos de materiais que forneço a ela]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Faço análise de dados usando a ferramenta]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para programar ou me auxiliar com programação]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para correção ou revisão de textos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para produzir imagens a serem incluídas em meus trabalhos]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para analisar imagens que forneço à ferramenta]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para me auxiliar com matemática]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Uso para me auxiliar com estatística]","Para cada tipo de uso abaixo, marque o quão frequente você usa uma ferramenta de IA para aquela finalidade [Faço apresentações de slides ou pôsteres usando a ferramenta]","Se você faz ou consegue imaginar usos que não foram contemplados na questão anterior, descreva-os aqui. Se for algo que já pratica, indique também a frequência de uso.",O que você entende por IA (Inteligência Artificial)?,"Em relação a IA e o futuro dos estudos e do trabalho, como você se sente?",Qual(is) tipo(s) de debate sobre o tema da Inteligência Artificial você gostaria de ver dentro da UFV?
09/04/2025 19:10:59,Estudante de graduação,Cooperativismo,,,,Uso esporadicamente,Uso corriqueiramente,Somente testei,Somente testei,Somente testei,Somente testei,Uso corriqueiramente,Somente testei,Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,Com frequência,Esporadicamente,Com frequência,Esporadicamente,Sempre,Com frequência,Nunca usei e não pretendo,Esporadicamente,Com frequência,Com frequência,Nunca usei e não pretendo,Utilizo para balancear da melhor forma possível exercícios físicos e alimentações ,Tecnologia que utiliza do conhecimento acumulado disponível na internet para sintetização e transmissão por meio de prompts ,Vejo com bons olhos a adoção ampla de IA nas atividades humanas,"Ética, Impacto na pesquisa, Impacto na qualidade de ensino"
09/04/2025 19:13:58,Estudante de graduação,Cooperativismo,,,,Uso esporadicamente,Uso corriqueiramente,Apenas ouvi falar,Apenas ouvi falar,Desconheço,Desconheço,Apenas ouvi falar,Desconheço,"Nunca usei, mas tenho curiosidade",Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade",Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Com frequência,Esporadicamente,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nenhum a declarar.,"É um sistema automatizados que tem por natureza aprender espontaneamente, prova disso é o chat gpt que era bem menos inteligente que hoje. Elas podem ser muito resilientes se ensina-las de forma correta. ","Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
09/04/2025 19:14:39,Estudante de graduação,Cooperativismo,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Sempre,Sempre,Com frequência,Com frequência,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Com frequência,Com frequência,Sempre,Sempre,Sempre,,Um inteligencia da Internet q pode nos ajudar no dia a dia ,Acredito que vai potencializar as habilidades e capacidades humanas,"Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino"
09/04/2025 19:15:35,Estudante de graduação,Cooperativismo,,,,"Nunca usei, mas pretendo",Apenas ouvi falar,Desconheço,Desconheço,Desconheço,Desconheço,Desconheço,Desconheço,,,,,,,,,,,,,,,,,Não prefiro opinar ,"Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança",Segurança e privacidade
09/04/2025 19:15:45,Estudante de graduação,"Secretariado Executivo Trilíngue – Português, Francês e Inglês",,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,"Desconheço, Apenas ouvi falar",Somente testei,Somente testei,Somente testei,Uso corriqueiramente,Com frequência,Esporadicamente,Com frequência,Esporadicamente,Com frequência,Com frequência,Sempre,Esporadicamente,Com frequência,Sempre,Com frequência,Com frequência,Esporadicamente,Com frequência,"Nunca usei, mas tenho curiosidade",,"Tenho bastante conhecimento, faço uso dela desde o começo, quando ainda se chamava OPEN IA","Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção ampla de IA nas atividades humanas","Ética, Segurança e privacidade, Impacto na pesquisa"
09/04/2025 19:37:12,Estudante de graduação,Cooperativismo,,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Somente testei,Desconheço,Apenas ouvi falar,Desconheço,Desconheço,Esporadicamente,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade",Com frequência,Com frequência,Com frequência,Com frequência,Esporadicamente,Com frequência,Com frequência,Esporadicamente,Com frequência,Com frequência,Nunca usei e não pretendo,,"Um ótimo suporte para nós estudantes nessa atualidade 
","Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção ampla de IA nas atividades humanas","Ética, Impacto na pesquisa, Impacto na qualidade de ensino"
09/04/2025 19:55:51,Estudante de graduação,Cooperativismo,,,,Incorporei ao meu dia-a-dia,Somente testei,Desconheço,Desconheço,Desconheço,Desconheço,Uso corriqueiramente,Desconheço,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,Com frequência,Com frequência,Com frequência,Nunca usei e não pretendo,Esporadicamente,Com frequência,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,,N,Acredito que vai potencializar as habilidades e capacidades humanas,"Eventos explicando melhor a tecnologia, em termos técnicos"
09/04/2025 20:15:25,Estudante de graduação,Ciências Biológicas (Bacharelado/Licenciatura),,,,Uso esporadicamente,Somente testei,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Somente testei,Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,,"Entendo como algo danoso quando nos referimos a IA genetativa, fazia uso mas deixei de usar chat gpt (senti falta dessa opção no passado nas perguntas anteriores). Evito inclusive a gemini acoplada a pesquisa do google usando o comando ""-ia"".","Tenho receio ou medo desta tecnologia, Acredito que é uma ameaça à qualidade do aprendizado humano, Acredito que é uma ameaça ao trabalho humano","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
09/04/2025 20:26:59,Estudante de graduação,Engenharia Elétrica,,,,Uso corriqueiramente,Uso corriqueiramente,Uso corriqueiramente,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Uso corriqueiramente,"Nunca usei, mas tenho curiosidade",Com frequência,Com frequência,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade",Esporadicamente,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,,Uma base de dados conectada a internet de forma que aos pesquisarmos essas informações são buscadas em seu banco de dados na tentativa de responder corretamente nossa pergunta,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção ampla de IA nas atividades humanas","Impacto na pesquisa, Impacto na qualidade de ensino"
09/04/2025 20:32:29,Estudante de graduação,Engenharia Elétrica,,,,"Nunca usei, mas pretendo",Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,,,,,,,,,,,,,,,,,prefiro não opinar.,"Tenho receio ou medo desta tecnologia, Acredito que é algo que veio para ficar, Acredito que é uma ameaça à qualidade do aprendizado humano, Acredito que é uma ameaça ao trabalho humano, Minha desconfiança é total","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
09/04/2025 21:11:30,Estudante de graduação,Engenharia Elétrica,,,,Uso esporadicamente,"Somente testei, Uso corriqueiramente",Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Esporadicamente,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",,"Um ""algoritmo"" que dá respostas a estímulos de forma que essas pareçam inteligente",Acredito que é algo que veio para ficar,
09/04/2025 21:23:48,Estudante de graduação,Cooperativismo,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Desconheço,Desconheço,Desconheço,Desconheço,Com frequência,Com frequência,Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,Com frequência,Esporadicamente,"Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade",,prefiro não opinar,"Acredito que vai potencializar as habilidades e capacidades humanas, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
09/04/2025 22:40:46,Estudante de graduação,Ciências Biológicas (Bacharelado/Licenciatura),,,,Uso corriqueiramente,Uso corriqueiramente,Apenas ouvi falar,Desconheço,Desconheço,Desconheço,Apenas ouvi falar,Desconheço,"Nunca usei, mas tenho curiosidade",Esporadicamente,Esporadicamente,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",,"chatbots capazes de gerar diálogos iguais à comunicação humana, formular respostas a perguntas específicas com base em informações acessadas de bancos de dados e até gerar outras formas de mídia além de texto","Tenho receio ou medo desta tecnologia, Acredito que é algo que veio para ficar, Acredito que é uma ameaça à qualidade do aprendizado humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
09/04/2025 22:52:13,Estudante de graduação,Medicina Veterinária,,,,Uso esporadicamente,Somente testei,"Somente testei, Uso corriqueiramente",Apenas ouvi falar,Desconheço,Desconheço,Desconheço,Desconheço,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,,"São mecanismos de auxílio digital , que estão sendo cada dia mais empregados na nossa rotina ","Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impacto na pesquisa, Impacto na qualidade de ensino"
10/04/2025 06:09:43,Estudante de graduação,Medicina Veterinária,,,,Uso corriqueiramente,Uso corriqueiramente,Uso corriqueiramente,Apenas ouvi falar,Desconheço,Desconheço,Desconheço,"Desconheço, Apenas ouvi falar",Esporadicamente,Com frequência,"Nunca usei, mas tenho curiosidade",Com frequência,Com frequência,"Nunca usei, mas tenho curiosidade",Esporadicamente,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,,Prefiro não opinar.,"Acredito que é algo que veio para ficar, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino"
10/04/2025 07:05:52,Estudante de graduação,Engenharia Elétrica,,,,Uso corriqueiramente,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Apenas ouvi falar,Somente testei,Uso corriqueiramente,Uso corriqueiramente,Com frequência,Esporadicamente,Esporadicamente,Esporadicamente,Sempre,Sempre,Sempre,Esporadicamente,Sempre,Sempre,Nunca usei e não pretendo,Esporadicamente,Com frequência,Esporadicamente,"Nunca usei, mas tenho curiosidade",Me auxiliar com palavras-chave para busca de artigos em inglês ,"Um programa que faz uma sequência de cálculos para decidir qual a próxima palavra que ele vai falar, e que faça sentido.","Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impactos ambientais, Ética, Segurança e privacidade, Impacto na qualidade de ensino"
10/04/2025 07:09:08,Estudante de graduação,Medicina Veterinária,,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Somente testei,Desconheço,Somente testei,Somente testei,Somente testei,Esporadicamente,Com frequência,Com frequência,Com frequência,Esporadicamente,Com frequência,Com frequência,Esporadicamente,Nunca usei e não pretendo,Sempre,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,,"Uma programação capaz de ""aprender"", se aprimorar com o tempo baseada nas informações que recebe, ao invés de algo fixo com orientações bem definidas.","Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
10/04/2025 07:32:56,Estudante de graduação,Engenharia Elétrica,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Apenas ouvi falar,Apenas ouvi falar,Apenas ouvi falar,Desconheço,Uso corriqueiramente,Desconheço,Esporadicamente,Sempre,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Sempre,Sempre,Esporadicamente,A utilizo para me explicar alguma parte da matéria que estou com dificuldade ,"Uma tentativa de simular a mente humana, ela aprende e ""raciocina"" quando vc conversa com ela.","Acredito que é algo que veio para ficar, Acredito que é uma ameaça ao trabalho humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança",Impactos ambientais
10/04/2025 08:20:58,Estudante de graduação,Agronomia,,,,Uso corriqueiramente,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Somente testei,Somente testei,Somente testei,Somente testei,Esporadicamente,Com frequência,Com frequência,Esporadicamente,Com frequência,"Nunca usei, mas tenho curiosidade",Com frequência,Com frequência,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Esporadicamente,"Nunca usei, mas tenho curiosidade","Uso para reestruturar textos em outros formatos, uso pra aprender idioma, uso pra procurar referências bibliográficas, uso para ganhar uma rendo extra","Um programa q utiliza seu banco de dados pra responder perguntas ou realizar serviços, aprendendo com esses serviços, se tornado cada dia mais rico em informações ","Acredito que é algo que veio para ficar, Vejo com bons olhos a adoção ampla de IA nas atividades humanas",Segurança e privacidade
10/04/2025 08:21:41,Estudante de graduação,Agronomia,,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Desconheço,Desconheço,Desconheço,Desconheço,Somente testei,Com frequência,Com frequência,Com frequência,Com frequência,Com frequência,Com frequência,Sempre,Esporadicamente,Nunca usei e não pretendo,Com frequência,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",,Compilados de dados.,Vejo com bons olhos a adoção ampla de IA nas atividades humanas,"Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
10/04/2025 08:25:46,Estudante de graduação,Agronomia,,,,Uso esporadicamente,Uso corriqueiramente,Somente testei,Apenas ouvi falar,Somente testei,Somente testei,Uso corriqueiramente,Apenas ouvi falar,Com frequência,Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,Com frequência,Esporadicamente,Com frequência,Com frequência,Com frequência,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,,prefiro não opinar,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Acredito que é uma ameaça à qualidade do aprendizado humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
10/04/2025 08:35:13,Estudante de graduação,Cooperativismo,,,,Incorporei ao meu dia-a-dia,Somente testei,Desconheço,Desconheço,Desconheço,Desconheço,Desconheço,Apenas ouvi falar,Com frequência,Com frequência,Com frequência,Com frequência,Com frequência,Com frequência,Esporadicamente,Esporadicamente,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,,"Ao mesmo tempo que ajuda em alguns pontos atrapalha em outros, o ser humano não consegue medir o uso, que se torna excessivo, o que torna os jovens preguiçosos e inseguros de si mesmo, não vou perder tempo fazendo algo já que a IA fazer tudo, é assim na graduação e tbm será no mercado de trabalho!","Tenho receio ou medo desta tecnologia, Acredito que é algo que veio para ficar, Acredito que é uma ameaça à qualidade do aprendizado humano, Acredito que é uma ameaça ao trabalho humano",Impacto na qualidade de ensino
10/04/2025 08:37:59,Estudante de graduação,Agronomia,,,,Incorporei ao meu dia-a-dia,"Desconheço, Assino o serviço pago (se houver)",Somente testei,Desconheço,Desconheço,Desconheço,Apenas ouvi falar,Somente testei,Sempre,Esporadicamente,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Sempre,Com frequência,Com frequência,Sempre,Sempre,Esporadicamente,"Nunca usei, mas tenho curiosidade",Com frequência,Esporadicamente,Sempre,Nunca usei e não pretendo,,"Me ajudou muito para contornar e achar meu método adequado de estudo, além do mais de fez procurar orientação psiquiatra e descobrir diversos transtornos mentais, como o T.A.B já diagnosticado pelo psiquiatra ",Acredito que vai potencializar as habilidades e capacidades humanas,Ética
10/04/2025 08:42:02,Estudante de graduação,Pedagogia,,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Somente testei,Apenas ouvi falar,Apenas ouvi falar,Desconheço,Apenas ouvi falar,Com frequência,Com frequência,Esporadicamente,Esporadicamente,Com frequência,Esporadicamente,Com frequência,Com frequência,"Nunca usei, mas tenho curiosidade",Sempre,Sempre,"Nunca usei, mas tenho curiosidade",Esporadicamente,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",,São ferramentas que otimizam os trabalhos do dia a dia. ,"Tenho receio ou medo desta tecnologia, Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Acredito que é uma ameaça à qualidade do aprendizado humano, Acredito que é uma ameaça ao trabalho humano","Impactos ambientais, Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino, Eventos explicando melhor a tecnologia, em termos técnicos"
10/04/2025 08:48:01,Estudante de graduação,Administração,,,,Incorporei ao meu dia-a-dia,Uso corriqueiramente,Apenas ouvi falar,Apenas ouvi falar,Desconheço,Desconheço,Somente testei,Apenas ouvi falar,Esporadicamente,Com frequência,Sempre,Sempre,Com frequência,Esporadicamente,Sempre,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Esporadicamente,Esporadicamente,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",,"Ferramenta dos anos atuais (década de 2020) que veio para automatizar projetos, pesquisas e ajudar pessoas. Usa de banco de dados para captar informações e existe um grande receio em relação a interação entre as próprias IA's e a sociedade atual, em diversos aspectos como aprendizado, educação, uso de informações pessoais e partes algoritmias não muito compreendidas.  ","Tenho receio ou medo desta tecnologia, Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Acredito que é uma ameaça à qualidade do aprendizado humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Segurança e privacidade, Impacto na pesquisa, Impacto na qualidade de ensino"
10/04/2025 08:52:17,Estudante de graduação,Administração,,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Desconheço,Apenas ouvi falar,Apenas ouvi falar,Desconheço,Somente testei,Com frequência,Sempre,Com frequência,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Sempre,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Sempre,"Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade","Nunca usei, mas tenho curiosidade",,Prefiro não opinar ,"Acredito que é algo que veio para ficar, Acredito que é uma ameaça à qualidade do aprendizado humano, Acredito que é uma ameaça ao trabalho humano","Segurança e privacidade, Impacto na qualidade de ensino"
10/04/2025 08:54:39,Estudante de graduação,Engenharia Elétrica,,,,Incorporei ao meu dia-a-dia,Assino o serviço pago (se houver),Somente testei,Somente testei,Somente testei,Uso corriqueiramente,Desconheço,Uso corriqueiramente,Sempre,Esporadicamente,Esporadicamente,Esporadicamente,Sempre,Com frequência,Esporadicamente,Com frequência,Com frequência,Esporadicamente,Esporadicamente,Sempre,Esporadicamente,Com frequência,Nunca usei e não pretendo,"Uso com muita frequência para brainstorming. Discutir sobre um assunto que quero aprender. Pensamentos aleatório que surgem e podem virar ideias, uso para ajudar a polir, etc. ",Um tipo de machine learning que é especializado em pensamento geral por meio de uma vasta rede neural com várias camadas o que a confere capacidade de tomar decisões (“pensar”) sobre diferentes tópicos. ,"Acredito que é algo que veio para ficar, Acredito que vai potencializar as habilidades e capacidades humanas, Acredito que é uma ameaça à qualidade do aprendizado humano, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Ética, Impacto na qualidade de ensino"
10/04/2025 08:58:38,Estudante de graduação,Medicina Veterinária,,,,Uso esporadicamente,Uso corriqueiramente,Somente testei,Apenas ouvi falar,Apenas ouvi falar,Somente testei,Apenas ouvi falar,Apenas ouvi falar,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,"Nunca usei, mas tenho curiosidade",Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,"Já utilizei, apesar de raramente o fazer no momento atual, para fazer a análise da minha resposta/cálculo e encontrar possíveis caminhos mais rápidos ou descrições mais eficazes, dependendo do conteúdo","É um sistema/máquina/programa com uma codificação que o permite aprender conforme é ""alimentado"" por uma base de dados e feedbacks da equipe que está trabalhando na IA.","Acredito que é algo que veio para ficar, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Impactos ambientais, Ética, Segurança e privacidade"
10/04/2025 09:00:47,Estudante de graduação,Administração,,,,Uso corriqueiramente,Uso corriqueiramente,Somente testei,Desconheço,Apenas ouvi falar,Apenas ouvi falar,Somente testei,Desconheço,Esporadicamente,Com frequência,Com frequência,Com frequência,Com frequência,Esporadicamente,Esporadicamente,Esporadicamente,Nunca usei e não pretendo,"Nunca usei, mas tenho curiosidade",Nunca usei e não pretendo,Esporadicamente,Nunca usei e não pretendo,Nunca usei e não pretendo,Nunca usei e não pretendo,,Prefiro não opinar,"Acredito que é algo que veio para ficar, Vejo com bons olhos a adoção de IA nas atividades humanas, mas mantendo certa desconfiança","Segurança e privacidade, Impacto na qualidade de ensino"
